time,symbol,side,entry_price,size,status,exit_time,exit_price,pnl,reason
2025-08-01 09:25:00,SUZLON,LONG,65.25,15325,CLOSED,2025-08-01 09:26:00,64.92,-4999.78,SL
2025-08-01 09:25:00,SWIGGY,LONG,392.80,2545,CLOSED,2025-08-01 09:26:00,390.84,-4998.38,SL
2025-08-01 09:25:00,EICHERMOT,LONG,5632.50,177,CLOSED,2025-08-01 09:37:00,5627.48,-889.42,TRAIL
2025-08-01 09:41:00,NETWEB,LONG,2187.00,457,CLOSED,2025-08-01 09:42:00,2176.06,-4997.29,SL
2025-08-04 09:25:00,MCX,LONG,7928.00,124,CLOSED,2025-08-04 09:44:00,7888.36,-4915.36,SL
2025-08-04 09:27:00,DELHIVERY,LONG,452.55,2174,CLOSED,2025-08-04 09:28:00,450.29,-4919.22,SL
2025-08-04 09:25:00,FEDERALBNK,LONG,194.22,5067,CLOSED,2025-08-04 09:26:00,193.25,-4920.56,SL
2025-08-04 11:20:00,SARDAEN,LONG,517.35,1902,CLOSED,2025-08-04 11:22:00,519.67,4418.35,TRAIL
2025-08-04 09:25:00,JIOFIN,LONG,335.00,2937,CLOSED,2025-08-04 09:43:00,333.32,-4919.48,SL
2025-08-04 09:28:00,ITC,LONG,419.45,2346,CLOSED,2025-08-04 10:32:00,417.35,-4920.15,SL
2025-08-04 09:25:00,PNBHOUSING,LONG,811.00,1213,CLOSED,2025-08-04 09:40:00,806.94,-4918.71,SL
2025-08-04 09:27:00,UPL,LONG,704.40,1397,CLOSED,2025-08-04 09:45:00,706.56,3018.57,TRAIL
2025-08-04 09:25:00,ABB,LONG,5355.00,183,CLOSED,2025-08-04 09:26:00,5328.22,-4899.82,SL
2025-08-05 09:25:00,INDUSINDBK,LONG,844.40,1133,CLOSED,2025-08-05 09:28:00,842.33,-2339.93,TRAIL
2025-08-05 09:40:00,GODFRYPHLP,LONG,9844.50,97,CLOSED,2025-08-05 09:46:00,9795.28,-4774.58,SL
2025-08-05 09:25:00,JIOFIN,LONG,337.40,2836,CLOSED,2025-08-05 09:48:00,335.71,-4784.33,SL
2025-08-05 09:25:00,SARDAEN,LONG,541.65,1767,CLOSED,2025-08-05 09:26:00,538.94,-4785.48,SL
2025-08-05 09:25:00,M&M,LONG,3192.70,299,CLOSED,2025-08-05 09:48:00,3176.74,-4773.09,SL
2025-08-05 09:25:00,RELIANCE,LONG,1403.00,682,CLOSED,2025-08-05 10:42:00,1395.98,-4784.23,SL
2025-08-06 10:30:00,GODFRYPHLP,LONG,10550.00,88,CLOSED,2025-08-06 10:32:00,10497.25,-4642.00,SL
2025-08-06 09:25:00,NEWGEN,LONG,973.65,956,CLOSED,2025-08-06 09:28:00,968.78,-4654.05,SL
2025-08-06 12:01:00,BSE,LONG,2304.80,403,CLOSED,2025-08-06 12:02:00,2306.57,713.31,TRAIL
2025-08-06 09:26:00,HDFCBANK,LONG,1977.10,470,CLOSED,2025-08-06 15:29:00,1987.00,4653.00,EOD
2025-08-06 09:25:00,LUPIN,LONG,1862.00,499,CLOSED,2025-08-06 09:36:00,1860.34,-827.34,TRAIL
2025-08-06 09:25:00,NCC,LONG,220.35,4224,CLOSED,2025-08-06 09:26:00,219.25,-4653.79,SL
2025-08-06 12:00:00,WAAREEENER,LONG,3216.00,289,CLOSED,2025-08-06 12:34:00,3222.95,2007.18,TRAIL
2025-08-07 09:31:00,ETERNAL,LONG,298.10,3097,CLOSED,2025-08-07 09:41:00,296.61,-4616.08,SL
2025-08-07 09:25:00,GODFRYPHLP,LONG,10544.00,87,CLOSED,2025-08-07 09:26:00,10491.28,-4586.64,SL
2025-08-07 09:27:00,TRENT,LONG,5398.00,171,CLOSED,2025-08-07 09:33:00,5399.20,205.20,TRAIL
2025-08-07 09:25:00,LUPIN,LONG,1934.00,477,CLOSED,2025-08-07 09:49:00,1924.33,-4612.59,SL
2025-08-07 15:15:00,BHEL,LONG,227.98,4050,CLOSED,2025-08-07 15:29:00,228.18,810.00,EOD
2025-08-07 09:25:00,BRITANNIA,LONG,5547.00,166,CLOSED,2025-08-07 09:27:00,5519.26,-4604.01,SL
2025-08-08 10:00:00,CUMMINSIND,LONG,3822.80,237,CLOSED,2025-08-08 10:10:00,3803.69,-4530.02,SL
2025-08-08 09:26:00,TITAN,LONG,3464.10,261,CLOSED,2025-08-08 09:27:00,3446.78,-4520.65,SL
2025-08-08 09:25:00,COFORGE,LONG,1645.40,550,CLOSED,2025-08-08 09:26:00,1637.17,-4524.85,SL
