date,num_trades,total_pnl,return_pct,win_rate,eod_equity
2025-08-01,4,-15884.87,-1.59,0.00,984115.13
2025-08-04,9,-26976.38,-2.74,22.22,957138.75
2025-08-05,6,-26241.64,-2.74,0.00,930897.11
2025-08-06,7,-7403.69,-0.80,42.86,923493.42
2025-08-07,6,-17404.12,-1.88,33.33,906089.30
2025-08-08,3,-13575.52,-1.50,0.00,892513.78
2025-08-11,7,-4663.73,-0.52,28.57,887850.05
2025-08-12,6,-26610.46,-3.00,0.00,861239.59
2025-08-14,7,-16210.47,-1.88,14.29,845029.12
2025-08-18,8,-7802.07,-0.92,25.00,837227.05
2025-08-19,8,-12078.28,-1.44,37.50,825148.77
2025-08-20,7,13162.19,1.60,42.86,838310.96
2025-08-21,9,1619.15,0.19,55.56,839930.11
2025-08-22,5,-17774.58,-2.12,0.00,822155.53
2025-08-25,6,-2273.48,-0.28,33.33,819882.05
2025-08-26,5,8339.02,1.02,40.00,828221.07
2025-08-28,4,13031.62,1.57,50.00,841252.69
