time,symbol,side,entry_price,size,status,exit_time,exit_price,pnl,reason
2025-08-26 09:25:00,SAILIFE,LONG,871.85,940,CLOSED,2025-08-26 09:45:00,867.49,-4097.69,SL
2025-08-26 09:32:00,ETERNAL,LONG,320.70,2556,CLOSED,2025-08-26 09:35:00,319.10,-4098.55,SL
2025-08-26 15:01:00,WAAREEENER,LONG,3196.00,256,CLOSED,2025-08-26 15:09:00,3259.92,16363.52,TG
2025-08-26 15:00:00,VMM,LONG,151.50,5411,CLOSED,2025-08-26 15:05:00,152.29,4270.36,TRAIL
2025-08-26 09:45:00,SWIGGY,LONG,429.40,1909,CLOSED,2025-08-26 10:07:00,427.25,-4098.62,SL
