time,symbol,side,entry_price,size,status,exit_time,exit_price,pnl,reason
2025-08-06 10:30:00,GODFRYPHLP,LONG,10550.00,88,CLOSED,2025-08-06 10:32:00,10497.25,-4642.00,SL
2025-08-06 09:25:00,NEWGEN,LONG,973.65,956,CLOSED,2025-08-06 09:28:00,968.78,-4654.05,SL
2025-08-06 12:01:00,BSE,LONG,2304.80,403,CLOSED,2025-08-06 12:02:00,2306.57,713.31,TRAIL
2025-08-06 09:26:00,HDFCBANK,LONG,1977.10,470,CLOSED,2025-08-06 15:29:00,1987.00,4653.00,EOD
2025-08-06 09:25:00,LUPIN,LONG,1862.00,499,CLOSED,2025-08-06 09:36:00,1860.34,-827.34,TRAIL
2025-08-06 09:25:00,NCC,LONG,220.35,4224,CLOSED,2025-08-06 09:26:00,219.25,-4653.79,SL
2025-08-06 12:00:00,WAAREEENER,LONG,3216.00,289,CLOSED,2025-08-06 12:34:00,3222.95,2007.18,TRAIL
