time,symbol,side,entry_price,size,status,exit_time,exit_price,pnl,reason
2025-08-05 09:25:00,INDUSINDBK,LONG,844.40,1133,CLOSED,2025-08-05 09:28:00,842.33,-2339.93,TRAIL
2025-08-05 09:40:00,GODFRYPHLP,LONG,9844.50,97,CLOSED,2025-08-05 09:46:00,9795.28,-4774.58,SL
2025-08-05 09:25:00,JIOFIN,LONG,337.40,2836,CLOSED,2025-08-05 09:48:00,335.71,-4784.33,SL
2025-08-05 09:25:00,SARDAEN,LONG,541.65,1767,CLOSED,2025-08-05 09:26:00,538.94,-4785.48,SL
2025-08-05 09:25:00,M&M,LONG,3192.70,299,CLOSED,2025-08-05 09:48:00,3176.74,-4773.09,SL
2025-08-05 09:25:00,RELIANCE,LONG,1403.00,682,CLOSED,2025-08-05 10:42:00,1395.98,-4784.23,SL
