time,symbol,side,entry_price,size,status,exit_time,exit_price,pnl,reason
2025-08-22 09:36:00,BSE,LONG,2346.80,357,CLOSED,2025-08-22 09:43:00,2335.07,-4189.04,SL
2025-08-22 09:50:00,WAAREEENER,LONG,3214.00,261,CLOSED,2025-08-22 11:54:00,3197.93,-4194.27,SL
2025-08-22 12:20:00,ICICIBANK,LONG,1437.60,584,CLOSED,2025-08-22 15:29:00,1435.90,-992.80,EOD
2025-08-22 09:29:00,SWIGGY,LONG,427.60,1964,CLOSED,2025-08-22 09:30:00,425.46,-4199.03,SL
2025-08-22 09:25:00,ETERNAL,LONG,321.55,2612,CLOSED,2025-08-22 09:48:00,319.94,-4199.44,SL
