time,symbol,side,entry_price,size,status,exit_time,exit_price,pnl,reason
2025-08-25 09:25:00,HDFCBANK,LONG,1975.30,416,CLOSED,2025-08-25 09:51:00,1965.42,-4108.62,SL
2025-08-25 09:25:00,BSE,LONG,2311.50,355,CLOSED,2025-08-25 10:06:00,2299.94,-4102.91,SL
2025-08-25 09:40:00,INFY,LONG,1527.00,538,CLOSED,2025-08-25 10:13:00,1519.36,-4107.63,SL
2025-08-25 09:55:00,OLAELEC,LONG,49.00,16778,CLOSED,2025-08-25 09:57:00,48.91,-1503.31,TRAIL
2025-08-25 09:42:00,TCS,LONG,3126.80,262,CLOSED,2025-08-25 15:29:00,3142.10,4008.60,EOD
2025-08-25 09:48:00,ETERNAL,LONG,318.45,2581,CLOSED,2025-08-25 11:17:00,321.37,7540.39,TRAIL
