time,symbol,side,entry_price,size,position_value,status,exit_time,exit_price,pnl,reason,stop_loss,target,trail_active,trail_stop
2025-08-12 09:39:00,PGEL,SHORT,521.55,1529,797449.95,CLOSED,2025-08-12 09:43:00,522.49,-1436.50,TRAIL,524.16,511.12,True,522.49
2025-08-12 09:25:00,HBLENGINE,LONG,707.20,1127,797014.40,CLOSED,2025-08-12 09:30:00,703.66,-3985.07,SL,703.66,721.34,False,
2025-08-12 09:25:00,TITAGARH,LONG,815.30,978,797363.40,CLOSED,2025-08-12 09:31:00,811.22,-3986.82,SL,811.22,831.61,False,
2025-08-12 09:25:00,HINDALCO,LONG,677.75,1176,797034.00,CLOSED,2025-08-12 09:26:00,674.36,-3985.17,SL,674.36,691.30,False,
2025-08-12 09:31:00,ASTRAL,SHORT,1287.60,619,797024.40,CLOSED,2025-08-12 09:32:00,1294.04,-3985.12,SL,1294.04,1261.85,False,
2025-08-12 09:25:00,HAL,LONG,4395.20,181,795531.20,CLOSED,2025-08-12 09:34:00,4373.22,-3977.66,SL,4373.22,4483.10,False,
2025-08-12 09:25:00,SUZLON,SHORT,63.43,12573,797505.39,CLOSED,2025-08-12 09:49:00,63.75,-3987.53,SL,63.75,62.16,False,
2025-08-12 09:26:00,JMFINANCIL,SHORT,161.70,4932,797504.40,CLOSED,2025-08-12 09:28:00,162.51,-3987.52,SL,162.51,158.47,False,
2025-08-12 09:50:00,INFY,LONG,1439.40,554,797427.60,CLOSED,2025-08-12 10:30:00,1432.20,-3987.14,SL,1432.20,1468.19,False,
