date,num_trades,total_pnl,return_pct,win_rate,eod_equity
2025-08-01,8,-35872.84,-3.59,0.00,964127.16
2025-08-04,10,-40395.79,-4.19,10.00,923731.37
2025-08-05,10,-43729.64,-4.73,0.00,880001.73
2025-08-06,9,-24126.24,-2.74,11.11,855875.49
2025-08-07,9,-34009.08,-3.97,11.11,821866.41
2025-08-08,8,-8700.12,-1.06,25.00,813166.29
2025-08-11,8,-15652.25,-1.92,25.00,797514.04
2025-08-12,9,-33318.53,-4.18,0.00,764195.51
2025-08-14,8,-18270.64,-2.39,12.50,745924.87
2025-08-18,9,-16406.21,-2.20,11.11,729518.66
2025-08-19,10,-12374.71,-1.70,40.00,717143.95
2025-08-20,8,26953.81,3.76,62.50,744097.76
2025-08-21,8,-4282.83,-0.58,37.50,739814.93
2025-08-22,7,-25882.23,-3.50,0.00,713932.70
2025-08-25,9,-15307.64,-2.14,22.22,698625.06
2025-08-26,10,-30380.66,-4.35,10.00,668244.40
2025-08-28,9,-14198.78,-2.12,22.22,654045.62
