day,equity
0,1000000.00
1,964127.16
2,923731.37
3,880001.73
4,855875.49
5,821866.41
6,813166.29
7,797514.04
8,764195.51
9,745924.87
10,729518.66
11,717143.95
12,744097.76
13,739814.93
14,713932.70
15,698625.06
16,668244.40
17,654045.62
