time,symbol,side,entry_price,size,position_value,status,exit_time,exit_price,pnl,reason,stop_loss,target,trail_active,trail_stop
2025-08-26 09:25:00,SAILIFE,LONG,871.85,801,698351.85,CLOSED,2025-08-26 09:45:00,867.49,-3491.76,SL,867.49,889.29,True,870.52
2025-08-26 09:42:00,IDEA,SHORT,6.73,103807,698621.11,CLOSED,2025-08-26 09:43:00,6.72,1035.47,TRAIL,6.76,6.60,True,6.72
2025-08-26 09:27:00,BSE,SHORT,2248.10,310,696911.00,CLOSED,2025-08-26 09:29:00,2259.34,-3484.55,SL,2259.34,2203.14,False,
2025-08-26 09:25:00,BLS,SHORT,374.05,1867,698351.35,CLOSED,2025-08-26 09:26:00,375.92,-3491.76,SL,375.92,366.57,False,
2025-08-26 09:29:00,HDFCBANK,SHORT,970.10,720,698472.00,CLOSED,2025-08-26 11:12:00,974.95,-3492.36,SL,974.95,950.70,False,
2025-08-26 09:32:00,ETERNAL,LONG,320.70,2178,698484.60,CLOSED,2025-08-26 09:35:00,319.10,-3492.42,SL,319.10,327.11,False,
2025-08-26 09:25:00,WAAREEENER,SHORT,3127.50,223,697432.50,CLOSED,2025-08-26 09:26:00,3143.14,-3487.16,SL,3143.14,3064.95,False,
2025-08-26 09:26:00,VMM,SHORT,149.75,4665,698583.75,CLOSED,2025-08-26 09:30:00,150.50,-3492.92,SL,150.50,146.75,False,
2025-08-26 09:46:00,MAZDOCK,SHORT,2676.00,261,698436.00,CLOSED,2025-08-26 10:05:00,2689.38,-3492.18,SL,2689.38,2622.48,False,
2025-08-26 09:45:00,SWIGGY,LONG,429.40,1626,698204.40,CLOSED,2025-08-26 10:07:00,427.25,-3491.02,SL,427.25,437.99,False,
