time,symbol,side,entry_price,size,position_value,status,exit_time,exit_price,pnl,reason,stop_loss,target,trail_active,trail_stop
2025-08-04 09:25:00,MCX,LONG,7928.00,121,959288.00,CLOSED,2025-08-04 09:44:00,7888.36,-4796.44,SL,7888.36,8086.56,False,
2025-08-04 09:27:00,DELHIVERY,LONG,452.55,2130,963931.50,CLOSED,2025-08-04 09:28:00,450.29,-4819.66,SL,450.29,461.60,False,
2025-08-04 09:25:00,FEDERALBNK,LONG,194.22,4964,964108.08,CLOSED,2025-08-04 09:26:00,193.25,-4820.54,SL,193.25,198.10,False,
2025-08-04 09:25:00,SARDAEN,SHORT,500.00,1928,964000.00,CLOSED,2025-08-04 09:26:00,502.50,-4820.00,SL,502.50,490.00,False,
2025-08-04 09:25:00,JIOFIN,LONG,335.00,2877,963795.00,CLOSED,2025-08-04 09:43:00,333.32,-4818.98,SL,333.32,341.70,False,
2025-08-04 09:25:00,TATAPOWER,SHORT,376.25,2562,963952.50,CLOSED,2025-08-04 09:26:00,378.13,-4819.76,SL,378.13,368.73,False,
2025-08-04 09:28:00,ITC,LONG,419.45,2298,963896.10,CLOSED,2025-08-04 10:32:00,417.35,-4819.48,SL,417.35,427.84,False,
2025-08-04 09:25:00,PNBHOUSING,LONG,811.00,1188,963468.00,CLOSED,2025-08-04 09:40:00,806.94,-4817.34,SL,806.95,827.22,False,
2025-08-04 09:27:00,UPL,LONG,704.40,1368,963619.20,CLOSED,2025-08-04 09:45:00,706.56,2955.91,TRAIL,700.88,718.49,True,706.56
2025-08-04 09:25:00,ABB,LONG,5355.00,180,963900.00,CLOSED,2025-08-04 09:26:00,5328.22,-4819.50,SL,5328.23,5462.10,False,
