time,symbol,side,entry_price,size,status,exit_time,exit_price,pnl,reason
2025-08-18 09:25:00,ADANIPORTS,SHORT,1306.50,554,CLOSED,2025-08-18 09:28:00,1313.03,-3619.00,SL
2025-08-18 09:56:00,MARUTI,LONG,13898.00,52,CLOSED,2025-08-18 12:13:00,14019.06,6295.25,TRAIL
2025-08-18 09:28:00,HEROMOTOCO,LONG,5084.80,142,CLOSED,2025-08-18 09:31:00,5059.38,-3610.21,SL
2025-08-18 09:44:00,ETERNAL,SHORT,318.00,2277,CLOSED,2025-08-18 15:29:00,314.10,8880.30,EOD
2025-08-18 09:38:00,VOLTAS,SHORT,1350.10,536,CLOSED,2025-08-18 09:49:00,1356.85,-3618.27,SL
2025-08-18 09:49:00,M&M,LONG,3417.00,211,CLOSED,2025-08-18 14:20:00,3399.92,-3604.94,SL
2025-08-18 09:35:00,BAJFINANCE,LONG,915.00,791,CLOSED,2025-08-18 09:40:00,912.75,-1777.67,TRAIL
2025-08-18 09:41:00,AMBER,LONG,7440.00,97,CLOSED,2025-08-18 09:58:00,7438.79,-117.61,TRAIL
2025-08-18 09:35:00,BAJAJ-AUTO,LONG,8600.00,84,CLOSED,2025-08-18 10:26:00,8557.00,-3612.00,SL
2025-08-18 09:25:00,HDFCBANK,LONG,2018.90,358,CLOSED,2025-08-18 10:51:00,2008.81,-3613.83,SL
