time,symbol,side,entry_price,size,status,exit_time,exit_price,pnl,reason
2025-08-06 09:27:00,GODFRYPHLP,SHORT,10232.50,85,CLOSED,2025-08-06 09:28:00,10283.66,-4348.81,SL
2025-08-06 10:12:00,BHARTIARTL,SHORT,1941.30,448,CLOSED,2025-08-06 15:29:00,1924.00,7750.40,EOD
2025-08-06 09:25:00,NEWGEN,LONG,973.65,894,CLOSED,2025-08-06 09:28:00,968.78,-4352.22,SL
2025-08-06 09:50:00,BSE,SHORT,2291.30,380,CLOSED,2025-08-06 09:52:00,2302.76,-4353.47,SL
2025-08-06 09:46:00,BEL,SHORT,387.60,2246,CLOSED,2025-08-06 10:25:00,389.54,-4352.75,SL
2025-08-06 09:26:00,HDFCBANK,LONG,1977.10,440,CLOSED,2025-08-06 15:29:00,1987.00,4356.00,EOD
2025-08-06 09:25:00,LUPIN,LONG,1862.00,467,CLOSED,2025-08-06 09:36:00,1860.34,-774.29,TRAIL
2025-08-06 09:25:00,NCC,LONG,220.35,3952,CLOSED,2025-08-06 09:26:00,219.25,-4354.12,SL
2025-08-06 09:38:00,WAAREEENER,SHORT,3075.50,283,CLOSED,2025-08-06 10:12:00,3090.88,-4351.83,SL
2025-08-06 09:36:00,INFY,SHORT,1442.70,603,CLOSED,2025-08-06 12:21:00,1444.86,-1299.92,TRAIL
