day,equity
0,1000000.00
1,989116.29
2,992522.30
3,1015071.14
4,1023454.78
5,1013948.72
6,1023750.58
7,1022392.18
8,1004765.73
9,985212.46
10,981080.46
11,1001398.78
12,1046510.88
13,1022335.40
14,1001976.90
15,994277.46
16,1005675.07
17,1024512.70
