time,symbol,side,entry_price,size,status,exit_time,exit_price,pnl,reason
2025-08-07 11:30:00,ETERNAL,LONG,299.20,3420,CLOSED,2025-08-07 12:02:00,297.70,-5116.32,SL
2025-08-07 11:30:00,GODFRYPHLP,SHORT,10010.00,102,CLOSED,2025-08-07 11:31:00,10060.05,-5105.10,SL
2025-08-07 11:30:00,SARDAEN,SHORT,562.75,1818,CLOSED,2025-08-07 11:38:00,563.04,-529.72,TRAIL
2025-08-07 13:01:00,LUPIN,LONG,1923.30,532,CLOSED,2025-08-07 15:21:00,1938.05,7849.53,TRAIL
2025-08-07 11:30:00,BHEL,SHORT,224.16,4565,CLOSED,2025-08-07 11:53:00,225.28,-5116.45,SL
2025-08-07 15:17:00,BRITANNIA,LONG,5488.00,186,CLOSED,2025-08-07 15:25:00,5480.00,-1488.00,EOD
