time,symbol,side,entry_price,size,status,exit_time,exit_price,pnl,reason
2025-08-21 09:44:00,CLEAN,LONG,1154.80,627,CLOSED,2025-08-21 09:46:00,1154.28,-327.61,TRAIL
2025-08-21 09:39:00,OLAELEC,SHORT,49.68,14580,CLOSED,2025-08-21 09:40:00,49.93,-3621.67,SL
2025-08-21 09:30:00,SWIGGY,LONG,437.00,1657,CLOSED,2025-08-21 09:56:00,440.07,5094.45,TRAIL
2025-08-21 09:25:00,GODFRYPHLP,LONG,11345.50,63,CLOSED,2025-08-21 09:26:00,11288.77,-3573.83,SL
2025-08-21 09:44:00,WAAREEENER,LONG,3277.90,220,CLOSED,2025-08-21 09:56:00,3274.26,-801.35,TRAIL
2025-08-21 09:26:00,TCS,LONG,3094.30,234,CLOSED,2025-08-21 15:21:00,3096.50,514.98,TRAIL
2025-08-21 09:33:00,RELIANCE,LONG,1430.90,506,CLOSED,2025-08-21 15:21:00,1423.75,-3620.18,SL
2025-08-21 09:40:00,JWL,LONG,367.90,1968,CLOSED,2025-08-21 09:44:00,369.01,2187.43,TRAIL
2025-08-21 10:05:00,INFY,LONG,1491.70,485,CLOSED,2025-08-21 15:29:00,1495.00,1600.50,EOD
2025-08-21 09:58:00,HDFCBANK,LONG,1990.00,364,CLOSED,2025-08-21 15:29:00,1990.90,327.60,EOD
