date,num_trades,total_pnl,return_pct,win_rate,eod_equity
2025-08-01,10,-45869.40,-4.59,0.00,954130.60
2025-08-04,10,-39984.21,-4.19,10.00,914146.39
2025-08-05,10,-43265.13,-4.73,0.00,870881.26
2025-08-06,10,-16081.01,-1.85,20.00,854800.25
2025-08-07,10,-29823.19,-3.49,20.00,824977.06
2025-08-08,10,-16549.11,-2.01,20.00,808427.95
2025-08-11,10,-22079.86,-2.73,10.00,786348.09
2025-08-12,10,-36763.66,-4.68,0.00,749584.43
2025-08-14,10,-25345.41,-3.38,10.00,724239.02
2025-08-18,10,-8397.98,-1.16,20.00,715841.04
2025-08-19,10,-10885.80,-1.52,40.00,704955.24
2025-08-20,10,19413.67,2.75,50.00,724368.91
2025-08-21,10,-2219.68,-0.31,50.00,722149.23
2025-08-22,10,-32751.91,-4.54,0.00,689397.32
2025-08-25,10,-15679.66,-2.27,20.00,673717.66
2025-08-26,10,-29284.43,-4.35,10.00,644433.23
2025-08-28,10,-9867.59,-1.53,30.00,634565.64
