time,symbol,side,entry_price,size,status,exit_time,exit_price,pnl,reason
2025-08-11 09:35:00,HBLENGINE,LONG,678.00,1192,CLOSED,2025-08-11 09:37:00,674.61,-4040.88,SL
2025-08-11 09:32:00,PGEL,SHORT,500.50,1615,CLOSED,2025-08-11 09:33:00,503.00,-4041.54,SL
2025-08-11 09:41:00,SBIN,LONG,821.45,984,CLOSED,2025-08-11 15:29:00,821.00,-442.80,EOD
2025-08-11 09:56:00,TATAMOTORS,LONG,650.70,1242,CLOSED,2025-08-11 09:59:00,647.45,-4040.85,SL
2025-08-11 09:28:00,BSE,SHORT,2390.00,338,CLOSED,2025-08-11 09:40:00,2401.95,-4039.10,SL
2025-08-11 10:00:00,VOLTAS,LONG,1242.00,650,CLOSED,2025-08-11 10:32:00,1240.62,-893.75,TRAIL
2025-08-11 09:25:00,AMBER,SHORT,6964.00,116,CLOSED,2025-08-11 09:26:00,6998.82,-4039.12,SL
2025-08-11 09:30:00,CDSL,SHORT,1559.50,518,CLOSED,2025-08-11 09:38:00,1567.30,-4039.10,SL
2025-08-11 09:53:00,RELIANCE,LONG,1371.90,589,CLOSED,2025-08-11 15:29:00,1384.70,7539.20,EOD
2025-08-11 09:34:00,MANAPPURAM,SHORT,254.85,3172,CLOSED,2025-08-11 09:35:00,256.12,-4041.92,SL
