time,symbol,side,entry_price,size,status,exit_time,exit_price,pnl,reason
2025-08-01 11:30:00,HINDUNILVR,SHORT,2554.00,391,CLOSED,2025-08-01 14:45:00,2555.93,-753.36,TRAIL
2025-08-01 11:30:00,SUZLON,LONG,64.69,15458,CLOSED,2025-08-01 12:02:00,65.21,7995.65,TRAIL
2025-08-01 11:30:00,SWIGGY,LONG,394.00,2538,CLOSED,2025-08-01 12:06:00,395.16,2953.91,TRAIL
2025-08-01 11:30:00,CHAMBLFERT,SHORT,524.15,1907,CLOSED,2025-08-01 14:31:00,523.95,380.68,TRAIL
2025-08-01 11:30:00,CHALET,SHORT,946.30,1056,CLOSED,2025-08-01 11:31:00,951.03,-4996.46,SL
2025-08-01 15:00:00,JSWENERGY,SHORT,510.30,1959,CLOSED,2025-08-01 15:20:00,512.85,-4998.39,SL
2025-08-01 13:40:00,M&M,LONG,3173.80,315,CLOSED,2025-08-01 15:08:00,3157.93,-4998.74,SL
2025-08-01 11:30:00,EICHERMOT,SHORT,5526.00,180,CLOSED,2025-08-01 12:10:00,5534.20,-1475.55,TRAIL
2025-08-01 11:30:00,NETWEB,LONG,2279.20,438,CLOSED,2025-08-01 11:31:00,2267.80,-4991.45,SL
