time,symbol,side,entry_price,size,status,exit_time,exit_price,pnl,reason
2025-08-01 11:30:00,HINDUNILVR,SHORT,2554.00,391,CLOSED,2025-08-01 14:45:00,2555.93,-753.36,TRAIL
2025-08-01 11:30:00,SUZLON,LONG,64.69,15458,CLOSED,2025-08-01 12:02:00,65.21,7995.65,TRAIL
2025-08-01 11:30:00,SWIGGY,LONG,394.00,2538,CLOSED,2025-08-01 12:06:00,395.16,2953.91,TRAIL
2025-08-01 11:30:00,CHAMBLFERT,SHORT,524.15,1907,CLOSED,2025-08-01 14:31:00,523.95,380.68,TRAIL
2025-08-01 11:30:00,CHALET,SHORT,946.30,1056,CLOSED,2025-08-01 11:31:00,951.03,-4996.46,SL
2025-08-01 15:00:00,JSWENERGY,SHORT,510.30,1959,CLOSED,2025-08-01 15:20:00,512.85,-4998.39,SL
2025-08-01 13:40:00,M&M,LONG,3173.80,315,CLOSED,2025-08-01 15:08:00,3157.93,-4998.74,SL
2025-08-01 11:30:00,EICHERMOT,SHORT,5526.00,180,CLOSED,2025-08-01 12:10:00,5534.20,-1475.55,TRAIL
2025-08-01 11:30:00,NETWEB,LONG,2279.20,438,CLOSED,2025-08-01 11:31:00,2267.80,-4991.45,SL
2025-08-04 11:30:00,MCX,LONG,7985.00,123,CLOSED,2025-08-04 11:52:00,7945.08,-4910.78,SL
2025-08-04 11:30:00,DELHIVERY,LONG,452.90,2183,CLOSED,2025-08-04 13:00:00,454.56,3634.70,TRAIL
2025-08-04 11:30:00,FEDERALBNK,LONG,195.46,5060,CLOSED,2025-08-04 12:44:00,195.03,-2194.78,TRAIL
2025-08-04 11:30:00,SARDAEN,LONG,524.40,1886,CLOSED,2025-08-04 11:31:00,521.78,-4945.09,SL
2025-08-04 15:10:00,JIOFIN,LONG,332.95,2970,CLOSED,2025-08-04 15:25:00,334.95,5940.00,EOD
2025-08-04 11:30:00,TATAPOWER,LONG,384.90,2569,CLOSED,2025-08-04 14:36:00,386.83,4950.14,TRAIL
2025-08-04 11:30:00,PNBHOUSING,SHORT,777.65,1271,CLOSED,2025-08-04 11:54:00,777.44,270.25,TRAIL
2025-08-04 11:30:00,UPL,LONG,707.20,1398,CLOSED,2025-08-04 12:06:00,703.66,-4943.33,SL
2025-08-04 11:30:00,ABB,SHORT,5081.00,194,CLOSED,2025-08-04 12:09:00,5052.11,5604.90,TRAIL
2025-08-05 11:40:00,HDFCBANK,LONG,1982.80,500,CLOSED,2025-08-05 15:25:00,1976.90,-2950.00,EOD
2025-08-05 13:00:00,PAYTM,SHORT,1058.00,938,CLOSED,2025-08-05 13:40:00,1057.88,117.25,TRAIL
2025-08-05 11:30:00,GODFRYPHLP,LONG,9881.50,100,CLOSED,2025-08-05 11:44:00,9832.09,-4940.75,SL
2025-08-05 12:00:00,KAYNES,SHORT,6420.50,154,CLOSED,2025-08-05 15:19:00,6347.25,11280.50,TRAIL
2025-08-05 13:00:00,SARDAEN,LONG,541.75,1832,CLOSED,2025-08-05 13:20:00,552.58,19849.72,TG
2025-08-05 12:10:00,M&M,LONG,3202.00,309,CLOSED,2025-08-05 14:15:00,3197.84,-1286.98,TRAIL
2025-08-05 12:40:00,MCX,LONG,7863.00,126,CLOSED,2025-08-05 15:25:00,7868.50,693.00,EOD
2025-08-05 13:20:00,RELIANCE,SHORT,1391.50,713,CLOSED,2025-08-05 15:25:00,1391.80,-213.90,EOD
2025-08-06 11:30:00,GODFRYPHLP,LONG,10670.00,95,CLOSED,2025-08-06 12:07:00,10773.59,9840.81,TRAIL
2025-08-06 11:30:00,BHARTIARTL,SHORT,1931.90,525,CLOSED,2025-08-06 15:25:00,1928.10,1995.00,EOD
2025-08-06 12:01:00,BSE,LONG,2304.80,440,CLOSED,2025-08-06 12:02:00,2306.57,778.80,TRAIL
2025-08-06 13:20:00,BEL,LONG,390.40,2600,CLOSED,2025-08-06 14:36:00,388.45,-5075.20,SL
2025-08-06 11:30:00,HDFCBANK,LONG,1979.00,512,CLOSED,2025-08-06 15:25:00,1986.90,4044.80,EOD
2025-08-06 11:30:00,WAAREEENER,LONG,3217.00,315,CLOSED,2025-08-06 12:34:00,3222.95,1872.75,TRAIL
2025-08-06 11:30:00,INFY,SHORT,1437.20,706,CLOSED,2025-08-06 12:21:00,1444.39,-5073.32,SL
2025-08-07 11:30:00,ETERNAL,LONG,299.20,3420,CLOSED,2025-08-07 12:02:00,297.70,-5116.32,SL
2025-08-07 11:30:00,GODFRYPHLP,SHORT,10010.00,102,CLOSED,2025-08-07 11:31:00,10060.05,-5105.10,SL
2025-08-07 11:30:00,SARDAEN,SHORT,562.75,1818,CLOSED,2025-08-07 11:38:00,563.04,-529.72,TRAIL
2025-08-07 13:01:00,LUPIN,LONG,1923.30,532,CLOSED,2025-08-07 15:21:00,1938.05,7849.53,TRAIL
2025-08-07 11:30:00,BHEL,SHORT,224.16,4565,CLOSED,2025-08-07 11:53:00,225.28,-5116.45,SL
2025-08-07 15:17:00,BRITANNIA,LONG,5488.00,186,CLOSED,2025-08-07 15:25:00,5480.00,-1488.00,EOD
2025-08-08 15:10:00,BHARTIARTL,SHORT,1860.80,544,CLOSED,2025-08-08 15:25:00,1857.00,2067.20,EOD
2025-08-08 11:30:00,BSE,SHORT,2395.10,423,CLOSED,2025-08-08 14:42:00,2407.08,-5065.64,SL
2025-08-08 12:10:00,AUBANK,SHORT,753.80,1345,CLOSED,2025-08-08 12:18:00,752.30,2017.16,TRAIL
2025-08-08 11:30:00,KALYANKJIL,SHORT,542.05,1870,CLOSED,2025-08-08 11:32:00,544.76,-5068.17,SL
2025-08-08 11:30:00,HDFCBANK,SHORT,1975.00,513,CLOSED,2025-08-08 15:25:00,1973.00,1026.00,EOD
2025-08-08 11:49:00,CUMMINSIND,LONG,3815.30,265,CLOSED,2025-08-08 12:26:00,3891.61,20221.09,TG
2025-08-08 11:30:00,TITAN,LONG,3477.10,291,CLOSED,2025-08-08 15:03:00,3459.71,-5059.18,SL
2025-08-08 12:40:00,ETERNAL,LONG,301.15,3366,CLOSED,2025-08-08 15:25:00,301.05,-336.60,EOD
2025-08-11 11:30:00,HBLENGINE,LONG,675.80,1514,CLOSED,2025-08-11 12:30:00,674.90,-1362.60,TRAIL
2025-08-11 11:30:00,SBIN,LONG,822.50,1244,CLOSED,2025-08-11 15:25:00,822.95,559.80,EOD
2025-08-11 11:30:00,TATAMOTORS,LONG,651.50,1571,CLOSED,2025-08-11 11:54:00,648.24,-5117.53,SL
2025-08-11 12:40:00,BSE,LONG,2407.60,425,CLOSED,2025-08-11 13:24:00,2402.84,-2021.94,TRAIL
