time,symbol,side,entry_price,size,status,exit_time,exit_price,pnl,reason
2025-08-26 14:50:00,SAILIFE,SHORT,859.10,1157,CLOSED,2025-08-26 15:01:00,857.63,1695.73,TRAIL
2025-08-26 11:30:00,IDEA,SHORT,6.68,148843,CLOSED,2025-08-26 11:31:00,6.71,-4971.36,SL
2025-08-26 11:30:00,BSE,SHORT,2236.10,444,CLOSED,2025-08-26 15:25:00,2216.10,8880.00,EOD
2025-08-26 15:10:00,BLS,SHORT,373.00,2665,CLOSED,2025-08-26 15:25:00,370.05,7861.75,EOD
2025-08-26 13:26:00,ETERNAL,LONG,319.70,3110,CLOSED,2025-08-26 14:13:00,319.09,-1900.99,TRAIL
2025-08-26 11:30:00,WAAREEENER,LONG,3210.00,309,CLOSED,2025-08-26 11:38:00,3193.95,-4959.45,SL
2025-08-26 11:30:00,VMM,SHORT,148.05,6715,CLOSED,2025-08-26 12:53:00,147.61,2962.49,TRAIL
2025-08-26 12:50:00,MAZDOCK,LONG,2698.90,368,CLOSED,2025-08-26 13:58:00,2704.46,2047.28,TRAIL
2025-08-26 12:00:00,SWIGGY,SHORT,422.05,2355,CLOSED,2025-08-26 13:50:00,422.14,-217.84,TRAIL
