time,symbol,side,entry_price,size,status,exit_time,exit_price,pnl,reason
2025-07-11 09:25:00,TCS,SHORT,3320.00,279,CLOSED,2025-07-11 15:29:00,3264.60,15456.60,EOD
2025-07-11 09:25:00,INFY,SHORT,1585.10,585,CLOSED,2025-07-11 09:43:00,1593.03,-4639.05,SL
2025-07-11 09:25:00,JPPOWER,LONG,24.85,37334,CLOSED,2025-07-11 09:26:00,24.73,-4480.08,SL
2025-07-11 09:25:00,TATAELXSI,SHORT,5872.00,157,CLOSED,2025-07-11 09:26:00,5901.36,-4609.52,SL
2025-07-11 09:25:00,HINDUNILVR,LONG,2505.20,370,CLOSED,2025-07-11 15:29:00,2520.00,5476.00,EOD
2025-07-11 09:25:00,IREDA,SHORT,161.70,5737,CLOSED,2025-07-11 09:26:00,162.51,-4646.97,SL
2025-07-11 09:25:00,BHARTIARTL,SHORT,1952.70,475,CLOSED,2025-07-11 15:29:00,1925.00,13157.50,EOD
2025-07-11 09:25:00,ZEEL,SHORT,132.87,6982,CLOSED,2025-07-11 09:36:00,133.53,-4608.12,SL
2025-07-11 09:25:00,ANANDRATHI,LONG,2243.00,413,CLOSED,2025-07-11 09:26:00,2231.78,-4633.86,SL
2025-07-11 09:50:00,BSE,SHORT,2442.30,379,CLOSED,2025-07-11 10:34:00,2393.45,18514.15,TG
