time,symbol,side,entry_price,size,status,exit_time,exit_price,pnl,reason
2025-08-18 09:25:00,MARUTI,LONG,13776.00,72,CLOSED,2025-08-18 11:41:00,14051.52,19837.44,TG
2025-08-18 09:25:00,HEROMOTOCO,LONG,5043.00,198,CLOSED,2025-08-18 09:31:00,5057.28,2827.44,TRAIL
2025-08-18 09:25:00,ETERNAL,LONG,321.50,3110,CLOSED,2025-08-18 09:43:00,319.89,-5007.10,SL
2025-08-18 09:25:00,VOLTAS,LONG,1361.00,734,CLOSED,2025-08-18 09:32:00,1359.23,-1299.18,TRAIL
2025-08-18 09:25:00,M&M,LONG,3391.70,294,CLOSED,2025-08-18 11:39:00,3406.26,4280.64,TRAIL
2025-08-18 09:25:00,BAJFINANCE,LONG,901.50,1109,CLOSED,2025-08-18 09:38:00,919.53,19995.27,TG
2025-08-18 09:25:00,AMBER,LONG,7344.00,136,CLOSED,2025-08-18 09:26:00,7307.28,-4993.92,SL
2025-08-18 09:25:00,BAJAJ-AUTO,LONG,8579.50,116,CLOSED,2025-08-18 10:26:00,8563.29,-1880.36,TRAIL
2025-08-18 09:25:00,HDFCBANK,LONG,2018.90,495,CLOSED,2025-08-18 10:51:00,2008.81,-4994.55,SL
