time,symbol,side,entry_price,size,status,exit_time,exit_price,pnl,reason
2025-07-24 09:25:00,INFY,SHORT,1563.70,578,CLOSED,2025-07-24 10:51:00,1564.24,-312.12,TRAIL
2025-07-24 10:30:00,HDFCBANK,LONG,1011.00,894,CLOSED,2025-07-24 12:04:00,1005.95,-4514.70,SL
2025-07-24 09:25:00,COFORGE,SHORT,1752.00,516,CLOSED,2025-07-24 09:26:00,1760.76,-4520.16,SL
2025-07-24 09:25:00,PERSISTENT,SHORT,5271.50,171,CLOSED,2025-07-24 09:58:00,5166.07,18028.53,TG
2025-07-24 10:52:00,TATACONSUM,LONG,1085.30,833,CLOSED,2025-07-24 11:04:00,1079.87,-4523.19,SL
2025-07-24 09:25:00,ETERNAL,LONG,305.45,2962,CLOSED,2025-07-24 10:21:00,311.56,18097.82,TG
2025-07-24 11:10:00,RELIANCE,SHORT,1412.30,640,CLOSED,2025-07-24 11:41:00,1406.47,3731.20,TRAIL
2025-07-24 09:25:00,OLAELEC,LONG,43.88,20619,CLOSED,2025-07-24 09:27:00,43.66,-4536.18,SL
2025-07-24 10:30:00,HCLTECH,SHORT,1517.10,596,CLOSED,2025-07-24 15:29:00,1510.10,4172.00,EOD
2025-07-24 13:10:00,NATCOPHARM,SHORT,1004.05,901,CLOSED,2025-07-24 13:34:00,1001.05,2703.00,TRAIL
