date,trades,total_return,win_rate,sharpe,max_drawdown,eod_equity,net_pnl,daily_pct,cum_nav
2025-07-01,10,-0.04,10.0,16.43,0.0,957243.55,-42756.45,-0.04,957243.55
2025-07-02,8,-0.02,25.0,16.43,0.0,941945.77,-15297.78,-0.02,941945.77
2025-07-03,9,-0.04,0.0,,0.0,908825.13,-33120.64,-0.04,908825.13
2025-07-04,10,0.01,50.0,-9.09,-0.01,916927.59,8102.46,0.01,916927.59
2025-07-07,6,-0.0,50.0,,0.0,915992.98,-934.61,-0.0,915992.98
2025-07-08,9,0.0,44.44,-16.43,-0.01,920019.18,4026.2,0.0,920019.18
2025-07-09,9,-0.01,22.22,,0.0,910140.99,-9878.19,-0.01,910140.99
2025-07-10,8,0.02,37.5,-22.11,-0.01,927750.5,17609.51,0.02,927750.5
2025-07-11,10,0.03,40.0,8.85,-0.01,952737.15,24986.65,0.03,952737.15
2025-07-14,8,-0.01,37.5,,0.0,940177.8,-12559.35,-0.01,940177.8
2025-07-15,7,-0.01,28.57,5.59,-0.01,928701.57,-11476.23,-0.01,928701.57
2025-07-16,8,-0.02,25.0,10.53,-0.0,912183.24,-16518.33,-0.02,912183.24
2025-07-17,10,-0.02,30.0,-16.34,-0.01,894531.93,-17651.31,-0.02,894531.93
2025-07-18,9,-0.01,33.33,0.06,-0.0,887087.35,-7444.58,-0.01,887087.35
2025-07-21,10,0.02,50.0,-9.46,-0.0,901383.97,14296.62,0.02,901383.97
2025-07-22,8,0.02,62.5,-8.19,-0.03,923089.46,21705.49,0.02,923089.46
2025-07-23,9,-0.02,22.22,,0.0,904766.19,-18323.27,-0.02,904766.19
2025-07-24,10,0.03,50.0,0.0,-0.0,933092.39,28326.2,0.03,933092.39
2025-07-25,8,-0.03,0.0,,0.0,903354.9,-29737.49,-0.03,903354.9
2025-07-28,8,0.0,37.5,4.06,-0.01,905106.47,1751.57,0.0,905106.47
2025-07-29,7,-0.01,42.86,0.06,-0.0,899801.67,-5304.8,-0.01,899801.67
2025-07-30,9,-0.01,33.33,-2.88,-0.01,888949.96,-10851.71,-0.01,888949.96
2025-07-31,10,-0.02,40.0,16.43,0.0,869379.41,-19570.55,-0.02,869379.41
2025-08-01,9,-0.04,11.11,5.64,-0.01,838707.77,-30671.64,-0.04,838707.77
2025-08-04,9,-0.02,33.33,-4.66,-0.0,821488.9,-17218.87,-0.02,821488.9
2025-08-05,9,-0.01,22.22,,0.0,809186.27,-12302.63,-0.01,809186.27
2025-08-06,9,-0.01,33.33,22.04,0.0,805066.35,-4119.92,-0.01,805066.35
2025-08-07,6,-0.03,0.0,0.06,-0.0,780932.34,-24134.01,-0.03,780932.34
2025-08-08,8,0.0,37.5,0.0,-0.0,782478.08,1545.74,0.0,782478.08
2025-08-11,8,-0.0,25.0,-16.43,-0.02,782151.41,-326.67,-0.0,782151.41
2025-08-12,6,-0.0,33.33,,0.0,778604.23,-3547.18,-0.0,778604.23
2025-08-14,9,-0.01,44.44,22.56,0.0,770571.36,-8032.87,-0.01,770571.36
2025-08-18,9,0.03,44.44,,0.0,792633.02,22061.66,0.03,792633.02
2025-08-19,8,0.01,50.0,14.17,-0.0,796710.32,4077.3,0.01,796710.32
2025-08-20,10,0.0,40.0,16.43,0.0,797798.43,1088.11,0.0,797798.43
2025-08-21,9,-0.01,44.44,,0.0,787950.42,-9848.01,-0.01,787950.42
2025-08-22,6,-0.02,0.0,-9.41,-0.0,773608.12,-14342.3,-0.02,773608.12
2025-08-25,9,0.02,44.44,4.05,-0.0,790155.54,16547.42,0.02,790155.54
2025-08-26,10,-0.01,20.0,0.06,-0.01,781573.11,-8582.43,-0.01,781573.11
2025-08-28,9,-0.01,33.33,11.89,-0.0,774325.4,-7247.71,-0.01,774325.4
