time,symbol,side,entry_price,size,status,exit_time,exit_price,pnl,reason
2025-08-12 09:25:00,HBLENGINE,LONG,707.20,1105,CLOSED,2025-08-12 09:30:00,703.66,-3911.70,SL
2025-08-12 09:25:00,ASTRAL,SHORT,1313.30,595,CLOSED,2025-08-12 09:31:00,1297.26,9543.80,TRAIL
2025-08-12 09:25:00,HAL,SHORT,4373.00,178,CLOSED,2025-08-12 09:27:00,4394.86,-3891.08,SL
2025-08-12 10:46:00,SUZLON,LONG,64.29,12165,CLOSED,2025-08-12 10:47:00,63.97,-3892.80,SL
2025-08-12 15:10:00,JMFINANCIL,LONG,162.76,4805,CLOSED,2025-08-12 15:29:00,162.80,192.20,EOD
2025-08-12 09:25:00,LT,LONG,3707.50,210,CLOSED,2025-08-12 10:49:00,3699.94,-1587.60,TRAIL
