time,symbol,side,entry_price,size,status,exit_time,exit_price,pnl,reason
2025-08-06 09:25:00,GODFRYPHLP,LONG,10459.00,77,CLOSED,2025-08-06 09:26:00,10406.70,-4027.10,SL
2025-08-06 09:25:00,BHARTIARTL,LONG,1963.70,412,CLOSED,2025-08-06 09:26:00,1953.88,-4045.84,SL
2025-08-06 09:25:00,NEWGEN,LONG,973.65,831,CLOSED,2025-08-06 09:28:00,968.78,-4046.97,SL
2025-08-06 09:25:00,BSE,SHORT,2321.60,348,CLOSED,2025-08-06 09:36:00,2333.21,-4040.28,SL
2025-08-06 10:20:00,BEL,LONG,389.15,2079,CLOSED,2025-08-06 11:17:00,387.20,-4054.05,SL
2025-08-06 13:30:00,HDFCBANK,LONG,1982.10,408,CLOSED,2025-08-06 15:29:00,1987.00,1999.20,EOD
2025-08-06 09:25:00,NCC,LONG,220.35,3672,CLOSED,2025-08-06 09:26:00,219.25,-4039.20,SL
2025-08-06 10:17:00,WAAREEENER,LONG,3107.40,260,CLOSED,2025-08-06 10:29:00,3169.55,16159.00,TG
2025-08-06 09:25:00,INFY,SHORT,1448.40,558,CLOSED,2025-08-06 12:21:00,1444.86,1975.32,TRAIL
