time,symbol,side,entry_price,size,status,exit_time,exit_price,pnl,reason
2025-07-21 09:44:00,HDFCBANK,LONG,994.80,891,CLOSED,2025-07-21 10:22:00,993.49,-1167.21,TRAIL
2025-07-21 09:25:00,RELIANCE,SHORT,1443.60,614,CLOSED,2025-07-21 15:29:00,1429.00,8964.40,EOD
2025-07-21 09:25:00,ICICIBANK,LONG,1443.90,614,CLOSED,2025-07-21 15:29:00,1464.50,12648.40,EOD
2025-07-21 09:25:00,AXISBANK,SHORT,1074.80,825,CLOSED,2025-07-21 09:30:00,1080.17,-4430.25,SL
2025-07-21 09:36:00,BSE,LONG,2514.90,352,CLOSED,2025-07-21 09:40:00,2502.33,-4424.64,SL
2025-07-21 09:25:00,AUBANK,SHORT,736.00,1205,CLOSED,2025-07-21 09:26:00,739.68,-4434.40,SL
2025-07-21 09:25:00,SONACOMS,LONG,493.55,1797,CLOSED,2025-07-21 09:34:00,492.48,-1922.79,TRAIL
2025-07-21 14:20:00,WAAREEENER,SHORT,3078.40,288,CLOSED,2025-07-21 15:00:00,3077.71,198.72,TRAIL
2025-07-21 09:25:00,NATIONALUM,LONG,193.12,4593,CLOSED,2025-07-21 12:08:00,194.53,6476.13,TRAIL
2025-07-21 09:52:00,BANDHANBNK,SHORT,182.00,4874,CLOSED,2025-07-21 10:02:00,181.51,2388.26,TRAIL
