time,symbol,side,entry_price,size,status,exit_time,exit_price,pnl,reason
2025-07-18 09:25:00,AXISBANK,SHORT,1106.10,808,CLOSED,2025-07-18 09:33:00,1111.63,-4468.24,SL
2025-07-18 10:00:00,JIOFIN,SHORT,316.50,2826,CLOSED,2025-07-18 10:36:00,316.10,1130.40,TRAIL
2025-07-18 09:25:00,WIPRO,LONG,269.15,3323,CLOSED,2025-07-18 09:33:00,267.80,-4486.05,SL
2025-07-18 09:25:00,POLYCAB,LONG,7027.50,127,CLOSED,2025-07-18 10:09:00,7026.90,-76.20,TRAIL
2025-07-18 09:25:00,LTIM,SHORT,5077.50,176,CLOSED,2025-07-18 09:26:00,5102.89,-4468.64,SL
2025-07-18 12:10:00,SBIN,SHORT,820.30,1090,CLOSED,2025-07-18 12:43:00,824.40,-4469.00,SL
2025-07-18 09:25:00,HDFCAMC,LONG,2811.00,318,CLOSED,2025-07-18 09:33:00,2796.95,-4467.90,SL
2025-07-18 09:25:00,HDFCBANK,SHORT,990.10,903,CLOSED,2025-07-18 15:29:00,978.00,10926.30,EOD
2025-07-18 15:20:00,SWSOLAR,SHORT,320.00,2795,CLOSED,2025-07-18 15:29:00,318.95,2934.75,EOD
