time,symbol,side,entry_price,size,status,exit_time,exit_price,pnl,reason
2025-08-22 12:10:00,BSE,SHORT,2317.00,431,CLOSED,2025-08-22 13:36:00,2328.58,-4990.98,SL
2025-08-22 10:14:00,HDFCBANK,SHORT,1965.10,508,CLOSED,2025-08-22 15:29:00,1965.50,-203.20,EOD
2025-08-22 14:00:00,TITAGARH,LONG,857.60,1166,CLOSED,2025-08-22 15:04:00,855.93,-1947.22,TRAIL
2025-08-22 09:25:00,LEMONTREE,LONG,169.93,5884,CLOSED,2025-08-22 09:26:00,169.08,-5001.40,SL
2025-08-22 09:50:00,ICICIBANK,SHORT,1434.40,697,CLOSED,2025-08-22 15:29:00,1435.90,-1045.50,EOD
2025-08-22 11:50:00,ETERNAL,LONG,323.25,3093,CLOSED,2025-08-22 13:10:00,321.63,-5010.66,SL
