time,symbol,side,entry_price,size,status,exit_time,exit_price,pnl,reason
2025-08-07 09:25:00,KOTAKBANK,SHORT,1971.10,507,CLOSED,2025-08-07 10:14:00,1980.96,-4999.02,SL
2025-08-07 10:29:00,ETERNAL,LONG,302.50,3305,CLOSED,2025-08-07 10:37:00,300.99,-4990.55,SL
2025-08-07 09:25:00,TRENT,LONG,5399.00,185,CLOSED,2025-08-07 09:26:00,5372.01,-4993.15,SL
2025-08-07 09:25:00,FORTIS,LONG,888.00,1126,CLOSED,2025-08-07 09:27:00,883.56,-4999.44,SL
2025-08-07 09:25:00,LUPIN,LONG,1934.00,517,CLOSED,2025-08-07 09:49:00,1924.33,-4999.39,SL
2025-08-07 09:25:00,BHEL,SHORT,229.95,4348,CLOSED,2025-08-07 09:26:00,231.10,-5000.20,SL
