time,symbol,side,entry_price,size,position_value,status,exit_time,exit_price,pnl,reason,stop_loss,target,trail_active,trail_stop
2025-08-28 09:26:00,INDIGO,SHORT,5781.00,111,641691.00,CLOSED,2025-08-28 12:29:00,5753.83,3015.59,TRAIL,5809.90,5665.38,True,5753.83
2025-08-28 09:25:00,WAAREEENER,SHORT,3280.70,195,639736.50,CLOSED,2025-08-28 09:26:00,3297.10,-3198.68,SL,3297.10,3215.09,False,
2025-08-28 09:26:00,SHRIRAMFIN,SHORT,578.60,1109,641667.40,CLOSED,2025-08-28 09:43:00,579.61,-1125.36,TRAIL,581.49,567.03,True,579.61
2025-08-28 09:29:00,OLAELEC,LONG,52.10,12317,641715.70,CLOSED,2025-08-28 09:35:00,52.16,688.21,TRAIL,51.84,53.14,True,52.16
2025-08-28 09:40:00,ICICIBANK,LONG,1411.80,454,640957.20,CLOSED,2025-08-28 12:03:00,1404.74,-3204.79,SL,1404.74,1440.04,False,
2025-08-28 09:25:00,HDFCBANK,SHORT,955.00,671,640805.00,CLOSED,2025-08-28 09:26:00,959.77,-3204.02,SL,959.77,935.90,False,
2025-08-28 09:58:00,HINDUNILVR,SHORT,2669.70,240,640728.00,CLOSED,2025-08-28 15:25:00,2651.00,4488.00,EOD,2683.05,2616.31,True,2667.56
2025-08-28 09:25:00,RELIANCE,SHORT,1368.00,469,641592.00,CLOSED,2025-08-28 09:45:00,1374.84,-3207.96,SL,1374.84,1340.64,False,
2025-08-28 09:25:00,HEROMOTOCO,LONG,5151.60,124,638798.40,CLOSED,2025-08-28 12:27:00,5150.08,-188.17,TRAIL,5125.84,5254.63,True,5150.08
2025-08-28 09:32:00,M&M,SHORT,3295.50,194,639327.00,CLOSED,2025-08-28 09:45:00,3311.98,-3196.63,SL,3311.98,3229.59,False,
