time,symbol,side,entry_price,size,position_value,status,exit_time,exit_price,pnl,reason,stop_loss,target,trail_active,trail_stop
2025-08-08 10:00:00,BHARTIARTL,SHORT,1863.30,441,821715.30,CLOSED,2025-08-08 12:12:00,1872.62,-4108.58,SL,1872.62,1826.03,False,
2025-08-08 09:25:00,BSE,SHORT,2385.00,345,822825.00,CLOSED,2025-08-08 09:26:00,2396.92,-4114.12,SL,2396.93,2337.30,False,
2025-08-08 09:25:00,AUBANK,SHORT,753.95,1091,822559.45,CLOSED,2025-08-08 09:26:00,757.72,-4112.80,SL,757.72,738.87,False,
2025-08-08 09:30:00,KALYANKJIL,SHORT,544.00,1513,823072.00,CLOSED,2025-08-08 09:31:00,539.01,7546.09,TRAIL,546.72,533.12,True,539.01
2025-08-08 09:25:00,HDFCBANK,SHORT,1983.70,414,821251.80,CLOSED,2025-08-08 15:25:00,1973.00,4429.80,EOD,1993.62,1944.03,True,1984.78
2025-08-08 10:00:00,CUMMINSIND,LONG,3822.80,215,821902.00,CLOSED,2025-08-08 10:10:00,3803.69,-4109.51,SL,3803.69,3899.26,False,
2025-08-08 09:26:00,TITAN,LONG,3464.10,237,820991.70,CLOSED,2025-08-08 09:27:00,3446.78,-4104.96,SL,3446.78,3533.38,False,
2025-08-08 09:25:00,COFORGE,LONG,1645.40,500,822700.00,CLOSED,2025-08-08 09:26:00,1637.17,-4113.50,SL,1637.17,1678.31,False,
2025-08-08 09:26:00,GODFRYPHLP,SHORT,9952.50,82,816105.00,CLOSED,2025-08-08 09:27:00,9954.10,-131.20,TRAIL,10002.26,9753.45,True,9954.10
2025-08-08 09:25:00,ETERNAL,SHORT,298.90,2754,823170.60,CLOSED,2025-08-08 09:46:00,300.39,-4115.85,SL,300.39,292.92,False,
