time,symbol,side,entry_price,size,position_value,status,exit_time,exit_price,pnl,reason,stop_loss,target,trail_active,trail_stop
2025-08-12 09:39:00,PGEL,SHORT,521.55,1506,785454.30,CLOSED,2025-08-12 09:43:00,522.49,-1414.89,TRAIL,524.16,511.12,True,522.49
2025-08-12 09:25:00,HBLENGINE,LONG,707.20,1111,785699.20,CLOSED,2025-08-12 09:30:00,703.66,-3928.50,SL,703.66,721.34,False,
2025-08-12 09:25:00,TITAGARH,LONG,815.30,963,785133.90,CLOSED,2025-08-12 09:31:00,811.22,-3925.67,SL,811.22,831.61,False,
2025-08-12 09:25:00,HINDALCO,LONG,677.75,1159,785512.25,CLOSED,2025-08-12 09:26:00,674.36,-3927.56,SL,674.36,691.30,False,
2025-08-12 09:31:00,ASTRAL,SHORT,1287.60,610,785436.00,CLOSED,2025-08-12 09:32:00,1294.04,-3927.18,SL,1294.04,1261.85,False,
2025-08-12 09:25:00,HAL,LONG,4395.20,178,782345.60,CLOSED,2025-08-12 09:34:00,4373.22,-3911.73,SL,4373.22,4483.10,False,
2025-08-12 09:25:00,SUZLON,SHORT,63.43,12389,785834.27,CLOSED,2025-08-12 09:49:00,63.75,-3929.17,SL,63.75,62.16,False,
2025-08-12 09:26:00,JMFINANCIL,SHORT,161.70,4859,785700.30,CLOSED,2025-08-12 09:28:00,162.51,-3928.50,SL,162.51,158.47,False,
2025-08-12 09:50:00,INFY,LONG,1439.40,545,784473.00,CLOSED,2025-08-12 10:30:00,1432.20,-3922.37,SL,1432.20,1468.19,False,
2025-08-12 10:00:00,LT,LONG,3722.00,211,785342.00,CLOSED,2025-08-12 10:38:00,3703.39,-3926.71,SL,3703.39,3796.44,False,
