time,symbol,side,entry_price,size,position_value,status,exit_time,exit_price,pnl,reason,stop_loss,target,trail_active,trail_stop
2025-08-04 09:25:00,MCX,LONG,7928.00,120,951360.00,CLOSED,2025-08-04 09:44:00,7888.36,-4756.80,SL,7888.36,8086.56,False,
2025-08-04 09:27:00,DELHIVERY,LONG,452.55,2108,953975.40,CLOSED,2025-08-04 09:28:00,450.29,-4769.88,SL,450.29,461.60,False,
2025-08-04 09:25:00,FEDERALBNK,LONG,194.22,4912,954008.64,CLOSED,2025-08-04 09:26:00,193.25,-4770.04,SL,193.25,198.10,False,
2025-08-04 09:25:00,SARDAEN,SHORT,500.00,1908,954000.00,CLOSED,2025-08-04 09:26:00,502.50,-4770.00,SL,502.50,490.00,False,
2025-08-04 09:25:00,JIOFIN,LONG,335.00,2848,954080.00,CLOSED,2025-08-04 09:43:00,333.32,-4770.40,SL,333.32,341.70,False,
2025-08-04 09:25:00,TATAPOWER,SHORT,376.25,2535,953793.75,CLOSED,2025-08-04 09:26:00,378.13,-4768.97,SL,378.13,368.73,False,
2025-08-04 09:28:00,ITC,LONG,419.45,2274,953829.30,CLOSED,2025-08-04 10:32:00,417.35,-4769.15,SL,417.35,427.84,False,
2025-08-04 09:25:00,PNBHOUSING,LONG,811.00,1176,953736.00,CLOSED,2025-08-04 09:40:00,806.94,-4768.68,SL,806.95,827.22,False,
2025-08-04 09:27:00,UPL,LONG,704.40,1354,953757.60,CLOSED,2025-08-04 09:45:00,706.56,2925.66,TRAIL,700.88,718.49,True,706.56
2025-08-04 09:25:00,ABB,LONG,5355.00,178,953190.00,CLOSED,2025-08-04 09:26:00,5328.22,-4765.95,SL,5328.23,5462.10,False,
