day,equity
0,1000000.00
1,954130.60
2,914146.39
3,870881.26
4,852919.45
5,823222.72
6,806288.09
7,785844.58
8,749102.30
9,723703.02
10,714054.76
11,701927.74
12,721300.79
13,719506.27
14,686879.91
15,670883.72
16,641718.74
17,632584.93
